codigomunicipio,codigodepartamento,zika,poblacintotal,altitud,zikaEv1516100000h
19418,19,0,20386.41666666667,100,0
19450,19,3,18084.83333333333,1167,16.588486
19455,19,5,40117.20833333334,1093,12.463479
19473,19,0,26073.5,1635,0
19513,19,3,7857.625,1000,38.179474
19517,19,1,35276.75,1600,2.8347282
19532,19,4,36388.625,998,10.992446
19533,19,2,7364.333333333333,289,27.157923
19548,19,2,43334.5,1864,4.6152601
19573,19,45,45765.75,968,98.326805
19585,,0,,2360,
19622,19,0,13347.5,1714,0
19693,,0,,2400,
19698,19,23,94355.33333333333,1071,24.37594
19701,19,0,10537.95833333333,1697,0
19743,,0,32233.75,2521,0
19760,,0,,1800,
19780,19,4,18631.08333333333,1225,21.469498
19785,19,2,8888.708333333334,,22.500458
19807,19,1,34120.79166666666,1852,2.9307644
19809,,0,21682.54166666667,5,0
19821,19,2,29354.375,1737,6.8132944
19824,,0,20271.16666666671,2570,0
19845,19,3,16301.66666666667,,18.403027
20000,,0,,,
20001,20,277,458633.8333333333,169,60.396767
20011,20,92,93477,162,98.41993
20013,20,11,50623.70833333334,132,21.728949
20032,20,7,19227.5,50,36.406189
20045,20,17,13417.79166666667,150,126.69745
20060,20,13,37584.91666666666,180,34.588345
20175,20,2,30618.45833333333,49,6.5320077
20178,20,10,19501.04166666667,50,51.279312
20228,20,7,24187.16666666667,62,28.940968
20238,20,19,26534.75,180,71.604218
20250,20,1,22930.04166666667,37,4.3610911
20295,20,4,16758.83333333333,50,23.86801
20310,20,1,6881.125,1240,14.532507
20383,20,4,12841.58333333333,50,31.148808
20400,20,8,22297.70833333333,50,35.878128
20443,20,3,14698.70833333333,720,20.409956
20517,20,4,17221.25,77,23.227118
20550,20,5,17970.66666666667,68,27.823118
20570,20,6,22579.41666666667,,26.572874
20614,20,14,14015.54166666667,1171,99.889114
20621,20,7,22854,157,30.629211
20710,20,24,24906.04166666667,120,96.36216
20750,20,5,13346.75,180,37.462303
20770,20,9,18603.25,112,48.378643
20787,20,2,13849,50,14.441476
23000,,0,,,
23001,23,879,444749.7916666667,18,197.63922
23068,23,35,51701.33333333334,22,67.69651
23079,23,1,21783.45833333333,22,4.5906391
23090,23,32,21812.33333333333,50,146.70599
23162,23,53,91946.95833333333,19,57.64193
23168,23,8,15097.625,8,52.988468
23182,23,4,48594.875,123,8.2313204
23189,23,2,64900.375,25,3.0816462
23300,23,1,15468.66666666667,4,6.4646811
23350,23,0,15354.58333333333,42,0
23417,23,21,118683.3333333333,23,17.694143
23419,23,2,24145.125,10,8.283246
23464,23,5,14917.08333333333,19,33.518616
23466,23,99,82337.66666666667,55,120.23659
23500,23,2,27663.75,10,7.2296777
23555,23,18,67496.75,87,26.667952
23570,23,7,38978.79166666666,119,17.958485
23574,23,3,29616.58333333333,12,10.12946
23580,23,3,48475,120,6.1887569
23586,23,2,15095.20833333333,20,13.249237
23660,23,7,89989.41666666667,82,7.7786927
23670,23,5,43357.45833333334,110,11.532042
23672,23,3,31677.54166666667,27,9.4704323
23675,23,27,34986.75,12,77.172073
23678,23,7,27310.91666666667,25,25.630777
23682,23,2,11089.95833333333,,18.034332
23686,23,15,43846.16666666666,25,34.210518
23807,23,71,101231.0416666667,135,70.136589
23815,23,11,38199.16666666666,,28.79644
23855,23,17,43504.54166666666,130,39.076382
25000,,0,,,
25001,25,14,10948.95833333333,400,127.86604
25019,25,0,5956,2245,0
25035,25,88,13421.41666666667,700,655.66852
25040,25,4,12256.29166666667,1657,32.636299
25053,25,20,12312.58333333333,1417,162.43546
25086,25,0,2213.791666666667,231,0
25095,25,0,2513.5,1412,0
25099,25,0,11712.08333333333,2598,0
25120,,0,4487.625,1858,0
25123,25,18,9821.083333333334,1550,183.27917
25126,,0,57507.125,2558,0
25148,25,5,16701.29166666667,1271,29.937803
25151,25,3,17091.875,1746,17.5522
25154,,0,,2980,
25168,25,20,3979.916666666667,1200,502.52307
25175,25,5,128274.7083333333,2562,3.8978846
25178,25,0,8400,2400,0
25181,25,2,10702.45833333333,1927,18.687296
25183,25,1,25602.58333333333,2655,3.9058559
25200,,0,,2631,
25214,25,2,25195.5,2566,7.9379253
25224,,0,,2590,
25245,25,195,21895.375,990,890.59906
25258,25,9,4806.083333333333,1310,187.26266
25260,25,0,17467.41666666667,2609,0
25269,25,2,133414.6666666667,2586,1.4990855
25279,,0,12218.33333333334,1896,0
25281,,0,,2113,
25286,25,0,76104,2548,0
25288,25,0,5645.166666666667,2874,0
25290,25,90,135953.5416666667,1723,66.199081
25293,,0,5704.791666666686,1712,0
25295,25,0,14652.70833333333,2566,0
25297,25,0,11127.70833333333,1745,0
25299,,0,,2180,
25307,25,195,105418.6666666667,289,184.97673
25312,25,1,8789,2450,11.377859
25317,25,1,11377.95833333333,2688,8.7889233
25320,25,35,38743.54166666666,992,90.337639
25322,25,0,15003,2710,0
25324,,0,2640.291666666667,255,0
25326,,0,,2680,
25328,25,1,3641.25,1630,27.463097
25335,25,2,4946.166666666667,1200,40.435352
25339,,0,4129.5,2350,0
25368,25,3,2681.166666666667,357,111.89159
25372,,0,8628.416666666666,2300,0
25377,,0,27727.54166666663,2718,0
25386,25,358,31606.20833333333,1198,1132.6888
25394,25,28,10779.54166666667,1462,259.75131
25398,25,5,7032.25,1230,71.100998
25402,25,41,14282,1230,287.07465
25407,,0,,2589,
25426,25,0,6292.166666666667,2094,0
25430,,0,78435.70833333333,2554,0
25436,,0,,1924,
25438,25,12,10122.08333333333,576,118.55267
25473,25,0,83882.625,2546,0
25483,25,2,2211.125,263,90.451691
25486,,0,,2585,
25488,25,73,18639.66666666667,336,391.63791
25489,25,4,6749.958333333333,1185,59.259624
25491,25,10,8031.625,1105,124.5078
25506,25,0,4065.416666666667,1592,0
25513,25,7,27292.20833333333,1799,25.648346
25518,25,2,4450.541666666667,960,44.938351
25524,25,14,5667.75,1024,247.0116
25530,25,11,7741.166666666667,250,142.09744
25535,25,0,12227,2180,0
25572,25,9,18861.875,177,47.715298
25580,25,5,3003.333333333334,1270,166.48169
25592,25,5,4741.791666666667,1372,105.44537
25594,,0,7169.166666666667,1496,0
25596,25,10,8166.166666666667,1443,122.45647
25599,25,38,7812,420,486.43112
25612,25,14,9515.75,284,147.12451
25645,25,15,13118.66666666667,1503,114.34089
25649,25,2,10688.95833333333,1600,18.710897
25653,,0,5346.166666666667,2208,0
25658,25,4,9665.083333333334,1520,41.386089
25662,25,6,9668.916666666666,1303,62.054523
25718,25,14,10717.25,1191,130.63052
25736,,0,,2590,
25740,25,1,38793.875,2574,2.5777266
25743,25,86,22003.5,1470,390.84692
25745,,0,,2559,
25754,25,1,517317.8333333333,2566,.19330476
25758,,0,27084.25,2580,0
25769,,0,,2663,
25772,25,0,17503.25,2584,0
25777,,0,5024.166666666671,1798,0
25779,,0,,2586,
25781,,0,,2550,
25785,25,0,27395.375,2569,0
25793,,0,,2931,
25797,25,46,9017.916666666666,1384,510.09564
25799,,0,,2587,
25805,25,4,4829.625,1647,82.822166
25807,,0,,1980,
25815,25,71,18448.75,400,384.84991
25817,25,0,32433.25,2606,0
25823,25,8,4520.333333333333,1323,176.9781
25839,25,17,10649.20833333333,1949,159.63628
25841,,0,6122.125,1867,0
25843,,0,,2559,
25845,,0,,2376,
25851,25,13,5012.333333333333,497,259.36023
25862,25,3,7680.791666666667,1510,39.058475
25867,25,1,4196.958333333333,1498,23.826778
25871,25,1,2173.708333333334,1575,46.004333
25873,,0,,2715,
25875,25,86,25221.41666666667,779,340.98004
25878,25,36,13346.125,567,269.74121
25885,25,3,16982.95833333333,1416,17.664766
25898,,0,5598.708333333329,2550,0
25899,25,0,123446.0416666667,2611,0
27001,27,10,115817.1666666667,43,8.6342983
27006,27,4,9541.208333333334,5,41.923412
27025,27,0,37278.375,8,0
27050,27,7,10072.16666666667,77,69.498451
27073,27,0,8038,90,0
27075,27,5,9340,5,53.533192
27077,27,1,17458.875,12,5.727746
27086,,0,,,
27099,27,1,10102.79166666667,50,9.8982544
27135,27,0,8081.041666666667,84,0
27150,27,0,5478.25,,0
27160,27,0,10090.20833333333,,0
27205,27,0,14749.375,70,0
27245,27,0,14180.625,1592,0
27250,,0,15440.04166666666,25,0
27361,27,1,25442,65,3.9305086
27372,27,0,3306,5,0
27413,27,0,11244.125,69,0
27425,27,0,30015.125,,0
27430,27,0,13662.91666666667,,0
27450,27,0,16515.79166666667,,0
27491,27,0,7956.458333333333,70,0
27495,27,0,8625.833333333334,5,0
27580,27,0,9786,,0
27600,27,0,9015.708333333334,,0
27615,27,0,28856.375,3,0
27660,27,0,4811.708333333333,750,0
27745,,0,4082.666666666668,80,0
27787,27,1,18945.54166666667,90,5.2782865
27800,27,2,15146.58333333333,5,13.204298
27810,,0,9670.541666666659,,0
41000,,0,,,
41001,41,1974,343151.0416666667,442,575.2569
41006,41,0,33296.66666666666,1348,0
41013,41,42,9089.166666666666,838,462.08856
41016,41,26,26622.29166666667,390,97.662514
41020,41,20,24531,1100,81.529495
41026,41,62,4338.5,1079,1429.0653
41078,41,20,9630.875,730,207.66545
41132,41,44,34394.83333333334,531,127.92619
41206,41,46,12479.45833333333,850,368.60574
41244,41,0,3961.416666666667,1425,0
41298,41,721,89282.25,828,807.55133
41306,41,199,33619.20833333334,808,591.92352
41319,41,227,21486.33333333333,929,1056.4855
41349,41,14,6943.708333333333,596,201.62137
41357,41,4,12856.79166666667,1123,31.111961
41359,41,0,27328.70833333333,2000,0
41378,41,5,14156.41666666667,1930,35.319672
41396,41,22,63323.83333333334,1018,34.742054
41483,41,2,6365.625,1480,31.418753
41503,41,3,13689.29166666667,1250,21.91494
41518,41,4,5587.208333333333,866,71.592102
41524,41,157,32990.83333333334,550,475.88977
41530,41,0,11632.70833333333,1556,0
41548,41,22,13732.125,918,160.20827
41551,41,147,127152,1318,115.60966
41615,41,80,18903.25,729,423.20764
41660,41,0,11527.375,1316,0
41668,41,3,33060.83333333334,1695,9.0741816
41676,41,13,11403.25,1417,114.00259
41770,41,7,19252.91666666667,1000,36.358128
41791,41,9,17690.125,826,50.875843
41797,41,16,9264.875,833,172.69527
41799,41,6,14237.25,575,42.142971
41801,41,20,8767.291666666666,910,228.12062
41807,41,23,20335.79166666667,1100,113.10108
41872,41,4,7313.625,384,54.69244
41885,41,6,9011.291666666666,579,66.58313
44000,,0,,,
44001,44,167,264486.1666666667,3,63.1413
44035,44,18,26874.66666666667,,66.977577
44078,44,42,35038.25,150,119.869
44090,44,12,33635.70833333333,2,35.676373
44098,44,3,15979.58333333333,205,18.773956
44110,44,0,8787.041666666666,234,0
44279,44,40,33541.625,150,119.25481
44378,44,13,25412.16666666667,198,51.156597
44420,44,0,3234.666666666667,,0
44430,44,22,158473.7083333333,52,13.882429
44560,44,9,106152.0416666667,3,8.478405
44650,44,62,37597.83333333334,213,164.90312
44847,44,21,177590.0833333333,33,11.824985
44855,44,0,18149.41666666667,250,0
44874,44,9,27823.83333333333,234,32.346371
47000,,0,,,
47001,,0,487916.6666666665,6,0
47030,47,3,12614.45833333333,,23.782234
47053,47,18,39717.29166666666,40,45.320313
47058,47,3,32232.08333333333,75,9.3074961
47161,47,1,7828.75,11,12.773431
47170,,0,15937.25,120,0
47189,47,131,104485.9166666667,3,125.37575
47205,47,9,9360.916666666666,,96.144432
47245,47,34,55601.5,25,61.149429
47258,47,32,16746.58333333333,9,191.08376
47268,47,1,21114.79166666667,25,4.7360163
47288,47,84,57372.70833333334,45,146.41107
47318,47,5,27391.125,25,18.254087
47460,47,1,20015.91666666667,,4.9960241
47541,47,0,8073.041666666667,12,0
47545,47,3,15867.33333333333,19,18.906769
47551,47,193,33831.375,3,570.47638
47555,47,40,58375.58333333334,20,68.521797
47570,47,5,30790.25,2,16.238907
47605,47,0,8120.208333333333,7,0
47660,47,3,16985.79166666667,,17.661819
47675,47,11,7032.666666666667,6,156.41293
47692,47,0,17497.625,25,0
47703,47,27,9119.458333333334,25,296.07022
47707,47,3,26110.79166666667,25,11.489502
47720,47,14,12698.29166666667,,110.25105
47745,47,8,31913.45833333333,5,25.067795
47798,47,31,12235.95833333333,20,253.35162
47960,47,27,8822.666666666666,,306.02994
47980,47,48,60749.875,,79.012505
48001,48,683,,,
50000,,0,,,
50001,50,2001,490297.1666666667,467,408.11984
50006,50,502,69744.375,522,719.7713
50110,50,22,3969.875,200,554.17365
50124,50,19,4034.25,235,470.96735
50150,50,47,9767.458333333334,450,481.18967
50223,50,14,5991.5,180,233.66435
50226,50,68,18090.41666666667,480,375.88962
50245,,0,2231.875,1766,0
50251,50,16,6328.958333333333,480,252.80621
50270,50,23,3433.333333333334,550,669.90289
50287,50,16,13376.20833333333,400,119.61536
50313,50,238,62881.75,450,378.48819
50318,50,84,9386.041666666666,518,894.94592
50325,50,8,17463,419,45.811142
50330,50,17,11323.29166666667,535,150.13303
50350,50,18,33376.125,450,53.930767
50370,50,6,16363,835,36.668091
50400,50,9,9387.291666666666,840,95.874298
50450,50,14,21192.20833333333,200,66.062019
50568,50,33,18622.08333333333,150,177.20895
50573,50,75,33664.25,181,222.78827
50577,50,10,9757.958333333334,250,102.48045
